rank,title,author,search_rating_info,url,rating,ratings_count,reviews_count,description,format,language,published
43,مقدمة ابن خلدون,Ibn Khaldun,"4.31 avg rating — 5,011 ratings",https://www.goodreads.com/book/show/2312486._,4.31,"5,011 ratings",462 reviews,كتاب في التاريخ وعلم الإجتماع، هذا الكتاب مقدمة لكتاب في التاريخ، أراد فيه ابن خلدون أن يشرح علم التاريخ وأحوال المجتمعات وسياستها وأسباب نشوئها، فإن كان علم الإجتماع يعود لمؤسس فلا شك أنه يعود لابن خلدون، وتعتبر المقدمة مرجعا مهما لكل باحث في التاريخ أو علم الإجتماع أو باحث في أسباب نشوء الأمم أو جغرافية وحدود كثير من الدول في تلك الفترة، سواء كان الباحث عربي أو أجنبي,"3864 pages, Hardcover",Arabic,"January 1, 1377"
44,رياض الصالحين من كلام سيد المرسلين,يحيى بن شرف النووي,"4.66 avg rating — 7,509 ratings",https://www.goodreads.com/book/show/2939264,4.66,"7,509 ratings",302 reviews,"An extremely popular and useful compilation of authentic hadith. Covering every aspect of Islamic belief and moral conduct, it selects approximately 2000 hadith from the six major collections: Bukhari, Muslim, Abu Dawood, Tirmidhi, An-Nasai and Ibn Majah. It serves as an excellent hadith primer and daily reader. Wide range of topics: sincerity of purpose, spending in the way of Allah, rules of fasting, seeking knowledge, attending funerals and safeguarding the Qur'aan. Arabic text as well as English translation are presented here in this handsome hardcover two volume set. Riyad-us-Saliheen comprises of about 2000 ahadiths in 372 Chapters and 19 Sections: The Book of Good Manners - The Book about the Etiquette of Eating - The Book of Dress -The Book of the Etiquette of Sleeping, Lying and Sitting, etc.- The book of Greetings - The Book of Visiting the Sick - The Book of Etiquette of Traveling - The Book of Virtues - The Book of I'tikaf - The Book of Hajj - The Book of Jihad - The Book of Knowledge - The Book of Praise and Gratitude to Allah - The Book of Supplicating Allah to Exalt the Mention of Allah's Messenger (PBUH) - The Book of the Remembrance of Allah - The Book of Du'a (Supplications) - The Book of the Prohibited Actions - The Book of Miscellaneous Ahadith of Significant values - and The Book of Forgiveness. رابط التحميل: http://www.waqfeya.com/book.php?bid=5160","510 pages, hardcover",Arabic,"January 1, 1263"
45,قمر على سمرقند,Mohamed Mansi Qandil,"3.87 avg rating — 14,128 ratings",https://www.goodreads.com/book/show/5607622,3.87,"14,128 ratings","2,287 reviews","""على "" و ""نور الدين "" ، الأول مصري والثاني سمرقندي .. رفيقا تلك الرحلة المدهشة ..جمعتهما المصادفة في سيارة تاكسي يقودها نور الدين إلى سمرقند حيث يبحث "" علي "" عن ""رشيدوف "" صديق أبيه القديم . يصف لنا نور الدين بدقة ، وكأننا نراه : صوته العميق وملامحه المملوكية ، لحيته الحمراء وعينيه الزرقاوتين ، ملامحه الغريبة وكأنها رسم خيالي لصور الأسلاف !!..يهيمن بقوة غير محدودة على رفيقه المصري وعلى السيارة المتهالكة التي تعود إلى عصر الشيوعية .. رجل يشتمل على كل تناقضات التاريخ : القدسية والغواية ، التدين والمجون ..وعربية ناصعة محكمة تراعي مخارج الحروف ، ووعي مستفيض بتاريخ تلك البقعة الأسطورية التي حكمت العالم الإسلامي قرونا طويلة ..على خلفية من خضرة زاهية منبسطة وحقول قطن متوهجة تبدأ رحلتنا الخيالية إلى سمرقند . ............ أيام غريبة – وكأنها حلم - سنقضيها في صحبة نور الدين دليلنا إلى عالم ما وراء النهرين الذي يختبئ فيه التاريخ خلف كل قطعة حجر"" د.أيمن الجندي","713 pages, Paperback",Arabic,"January 1, 2004"
46,شكلها باظت,عمر طاهر,"3.50 avg rating — 9,012 ratings",https://www.goodreads.com/book/show/3692151,3.50,"9,012 ratings",561 reviews,ألبوم أجتماعى ساخر,"203 pages, Paperback",Arabic,"January 1, 2003"
47,Season of Migration to the North,Tayeb Salih,"3.72 avg rating — 34,395 ratings",https://www.goodreads.com/book/show/669780.Season_of_Migration_to_the_North,3.72,"34,395 ratings","4,709 reviews","The story of a man undone by a culture that in part created him, Season of Migration to the North, is a powerful and evocative examination of colonization in two vastly different worlds. When a young man returns to his village in the Sudan after many years studying in Europe, he finds that among the familiar faces there is now a stranger - the enigmatic Mustafa Sa'eed. As the two become friends, Mustafa tells the younger man the disturbing story of his own life in London after the First World War. Lionized by society and desired by women as an exotic novelty, Mustafa was driven to take brutal revenge on the decadent West and was, in turn, destroyed by it. Now the terrible legacy of his actions has come to haunt the small village at the bend of the Nile.","176 pages, Paperback",English,"January 1, 1966"
48,العنكبوت,Mostafa Mahmoud,"3.83 avg rating — 13,771 ratings",https://www.goodreads.com/book/show/3790931,3.83,"13,771 ratings","1,816 reviews",رواية فلسفية في قالب خيال علمي تطرح أحد الأسئلة الأزلية عن مصير الروح,"98 pages, Paperback",Arabic,"January 1, 1965"
49,الطنطورية,Radwa Ashour,"4.36 avg rating — 29,308 ratings",https://www.goodreads.com/book/show/8239301,4.36,"29,308 ratings","5,128 reviews",الطنطورية (نسبة الى قرية الطنطورة الواقعة على الساحل الفلسطيني جنوب حيفا) ، تعرضت هذه القرية عام 1948 لمذبحة على يد العصابات الصهيونية ، تتناول الرواية هذه المذبحة كمنطلق و حدث من الاحداث الرئيسية ، لتتابع حياة عائلة اقتلعت من القرية وحياتها عبر ما يقرب من نصف قرن إلى الآن مرورًا بتجربة اللجوء في لبنان. بطلة الرواية هي امرأة من القرية يتابع القارئ حياتها منذ الصبا الى الشيخوخة. الرواية تمزج في سطورها بين الوقائع التاريخية من ناحية و الإبداع الأدبي من ناحية أخرى.,"463 pages, Paperback",Arabic,"January 1, 2010"
50,ما فعله العيان بالميت,Belal Fadl,"3.46 avg rating — 7,195 ratings",https://www.goodreads.com/book/show/5971096,3.46,"7,195 ratings",625 reviews,"يقول الكاتب الساخر بلال فضل في تقديم هذا الكتاب: ""طلبتْ مني دار الشروق مشكورة مأجورة أن أكتب نبذة عن نفسي كما جرت العادة، التي يزعم أهل دار الشروق أنها عادة حسنة، وأزعم أنا أنها ليست كذلك. الكذب خيبة، هذا ليس موقفًا مبدئيًّا ضد حق النبذة في الوجود، فالحقيقة ببساطة أنني بعد لأي ""لأيت"" نفسي عاجزًا بالجملة والقطاعي عن كتابة تلك النبذة المتمنعة، وأنا الذي ما شكوت يومًا بفضل الرب من كتابة نُبَذ الغريب قبل نُبَذ القريب. لذلك وبدلا من إعلان فشلي قررت أن أتمرد على مشيئة دار الشروق فأنبذ فكرة كتابة أي نبذة عن نفسي، ليس غرورًا لا سمح الله ولا ثقة إن شاء الله، بل لسبب بسيط، هو أنك بعون الله لو قرأت قصصي التي تضمها هذه المجموعة ولم تعجبك فلن تجدي أي نبذة في الدنيا في تعويضك عن وقتك الذي ضاع وفلوسك التي راحت، ولن تكون بحاجة إلى مَنْ يقول لك نبذة عن المؤلف، بل إلى من يشد على يدك ويقول لك عَوَضك على الله. أما إذا قرأت قصصي وأعجبتك كما أظن، فأظن عيبًا جدًّا أن تطلب بعد ذلك نبذة عني. وفي الحالتين، حصلتْ لنا البركة","127 pages, Paperback",Arabic,"November 1, 2008"
51,عزازيل,Youssef Ziedan,"4.03 avg rating — 52,390 ratings",https://www.goodreads.com/book/show/3554772,4.03,"52,390 ratings","5,864 reviews","تدور أحداث الرواية في القرن الخامس الميلادي ما بين صعيد مصر والإسكندرية وشمال سوريا، عقب تبني الإمبراطورية الرومانية للدين المسيحي، وما تلا ذلك من صراع مذهبي داخلي بين آباء الكنيسة من جهة، والمؤمنين الجدد والوثنية المتراجعة من جهة أخرى. ""ما أظن أني تمتعت بعمل من هذا القبيل.. ما أروع هذا العمل"" -- يحيى الجمل ""هذه الرواية عمل مبدع وخطير، مبدع لما يحتويه من مناطق حوارية إنسانية مكتوبة بحساسية مرهفة تمتزج فيها العاطفة بالمتعة، وخطير لأنه يتضمن دراسة في نشأة وتطور الصراع المذهبي بين الطوائف المسيحية في المشرق.. إن يوسف زيدان يتميز بالموهبتين، موهبة المبدع وموهبة الباحث، وكثيرا ما تتداخل الموهبتان في هذا العمل"" -- سامي خشبة ""لو قرأنا الرواية قراءة حقيقية، لأدركنا سمو أهدافها ونبل غاياتها الأخلاقية والروحية التي هي تأكيد لقيم التسامح وتقبل الآخر، واحترام حق الاختلاف، ورفض مبدأ العنف.. ولغة الرواية لغة شعرية، تترجع فيها أصداء المناجيات الصوفية، خصوصا حين نقرأ مناجاة هيبا لربه "" -- د. جابر عصفور ""يوسف زيدان هو أول روائي مسلم، يكتب عن اللاهوت المسيحي بشكل روائي عميق. وهو أول مسلم، يحاول أن يعطي حلولا لمشكلات كنسية كبرى.. إن يوسف زيدان اقتحم حياة الأديرة، ورسم بريشة راهب أحداثا كنسية حدثت بالفعل، وكان لها أثر عظيم في تاريخ الكنيسة القبطية"" -- المطران يوحنا جريجووريوس","470 pages, Paperback",Arabic,"January 1, 2008"
52,كزهر اللوز أو أبعد,Mahmoud Darwish,"4.07 avg rating — 6,343 ratings",https://www.goodreads.com/book/show/2073853._,4.07,"6,343 ratings",720 reviews,في هذا الكتاب يبدو أن محمود درويش ما زال قادراً على الإدهاش ومنح الشعر العربي مزيداً من الأناقة والجاذبية المسيطرة في وقت يتراجع فيه ذلك الشعر ويسترسل في هذيانية بائسة وجهل مطبق. هنا يسأل درويش الشعر ويقيم حواجز للبلاغة وينقضّ على العبارة المعلبة في تمرد أسلوبي على المعنى والصورة في سياق اختراق للمفاهيم المتعارف عليها والمكررة والمملة. إنها أسئلة الشعر الأصلية من السرير وفاتورة الكهرباء إلى نخلة السومرية إلى نيويورك إلى وردة أريحا.. ونحن نلهث وراء الشاعر الذي يسابق الزمن ويحاول المستحيل http://www.4shared.com/office/WfT0HKV...,202 pages,Arabic,"January 1, 2005"
53,الحب في المنفى,Bahaa Taher,"3.82 avg rating — 6,751 ratings",https://www.goodreads.com/book/show/3437956,3.82,"6,751 ratings",862 reviews,ـ «رواية كاملة الأوصاف» ـ د. علي الراعي - الأهرام «نموذج جديد للرواية الواقعية» ـ د. شكري عياد - الهلال «رواية نسجها مؤلفها باقتدار كبير» ـ د. جابر عصفور - الحياة «كأنى بهذا المبدع الكبير يريد أن يحفر في وجدان قارئه ما حدث.. حتى لاينساه أبدا» ـ فاروق عبد القادر - روزاليوسف «بهاء طاهر كاتب واضح مسيطر على مادته وأدواته. جديد في رؤيته ومتفرد في نوع أدائه. الصدق هو النبرة الأولى التي تصافحك في سطوره، والتوازن الموضوعي هو العلامة الواضحة التي يقيم عليها بناء نصوصه» -علاء الديب - صباح الخير,"254 pages, Paperback",Arabic,"January 1, 1995"
54,الأسود يليق بك,Ahlam Mosteghanemi,"3.62 avg rating — 64,960 ratings",https://www.goodreads.com/book/show/16081961,3.62,"64,960 ratings","6,153 reviews",ما من قصة حب إلا و تبدأ بحركة موسيقية ، قائد الأوركسترا فيها ليس قلبك، إنما القدر الذي يخفي عنك عصاه . بها يقودك نحو سلم موسيقي لا درج له، مادمت لا تملك من سيمفونية العمر لا ((مفتاح صول)) ..ولا القفلة الموسيقية. الموسيقى لا تمهلك، إنها تمضي بك سراعا كما الحياة، جدولا طربا، أو شلالا هادرا يلقي بك إلى المصب. تدور بك كفالس محموم، على إيقاعه تبدأقصص الحب ...و تنتهي. حاذر أن تغادر حلبة الرقص كي لا تغادرك الحياة. لا تكترث للنغمات التي تتساقط من صولفيج حياتك فما هي إلا نوتات,"331 pages, Paperback",Arabic,"January 1, 2012"
55,رحلتي الفكرية في البذور والجذور والثمر: سيرة غير ذاتية غير موضوعية,عبد الوهاب المسيري,"4.39 avg rating — 4,787 ratings",https://www.goodreads.com/book/show/3831344,4.39,"4,787 ratings",852 reviews,أصدرت دار الشروق طبعة جديدة من السيرة الممتعة للمفكر الكبير الدكتور عبد الوهاب المسيري. يرصد تحولاته الفردية في الفكر والمنهج ويؤرخ، فى الوقت نفسه، لجيل بأكمله، أو لقطاع منه. فتحولات صاحب هذه السيرة ليست بأى حال منبتة الصلة بما كان يحدث حوله. ومن هذا المنظور، تصبح أحداث حياة المؤلف لا أهمية لها فى حد ذاتها، وإنما تكمن أهميتها فى مدى ما تلقيه من ضوء على تطوره الفكرى. وقد فهم المؤلف كثيرًا من أحداث حياته الخاصة (الذاتية) من خلال نفس الموضوعات الأساسية الكامنة والمقولات التحليلية التى استخدمها فى دراساته وأبحاثه (الموضوعية)، وليس العكس. ولكن هذه الرحلة الفكرية، مع هذا، هى رحلة المؤلف الفردية، فهو الذى تفاعل مع ما حوله من تجارب منذ أن وُلد فى دمنهور ونشأ فيها إلى أن انتقل إلى الإسكندرية ومنها إلى نيويورك ثم أخيرًا إلى القاهرة حيث استقر به المقام. فإذا كانت هذه الرحلة الفكرية، سيرة غير ذاتية، فهى أيضًا سيرة غير موضوعية، سيرة إنسان يلتقي فى فضاء حياته الخاص بالعام، ولهذا فهو لا يذكر القضايا الفكرية المجردة وحسب، وإنما يشفعها دائمًا بأحداث من حياته أو اقتباسات من كتاباته تبين كيف ترجمت القضية الفكرية (العامة) نفسها إلى أحداث ووقائع محددة فى حياته الشخصية (الخاصة) وذلك بأسلوب المؤلف السلس والعميق والساخر. وهذه الطبعة الجديدة تتميز بعض الإضافات وأهمهما ملحق صور كبير يتناول رحلة المؤلف ومحطات حياته المختلفة.,"762 pages, Hardcover",Arabic,"January 1, 2000"
56,ماذا حدث للمصريين؟,Galal Amin,"3.94 avg rating — 4,455 ratings",https://www.goodreads.com/book/show/3438912,3.94,"4,455 ratings",480 reviews,أشهر كتاب لمفكر الكبير الدكتور جلال أمين يحلل فيه بطريقته السهلة العميقة ما حدث من تغيرات في حياة المصريين وطريقتهم خلال النصف قرن الماضي وذلك بأسلوب ساخر جذاب. فيتناول مثلا الطبقة الوسطى والتعصب الديني والمرأة والأسياد والخدم والهجرة واللغة العربية والسيارات الخاصة وأفراح الأنجال والتصييف والأغاني والأفلام ومواضيع أخرى,"192 pages, Mass Market Paperback",Arabic,"January 1, 1998"
57,زمن الخيول البيضاء,Ibrahim Nasrallah,"4.43 avg rating — 11,336 ratings",https://www.goodreads.com/book/show/6219415,4.43,"11,336 ratings","2,260 reviews","متزامنة مع الذكرى الستين لاحتلال فلسطين, تصدر (زمن الخيول البيضاء) رواية ملحمية استثنائية يتوج بها الشاعر والروائي إبراهيم نصرالله مشروعه الروائي الكبير ( الملهاة الفلسطينية ) الذي بدأ العمل عليه منذ عام 1985 , و الذي صدر منه ست روايات لكل رواية أجواؤها الخاصة بهاو شخوصها و بناؤها الفني و استقلالها عن الروايات الأخرى يتأمل نصرالله في هذا المشروع 125 عاما من تاريخ الشعب الفلسطيني برؤية نقدية عميقة و مستويات فنية راقية , انطلاقا من تلك الحقيقة الراسخة التي عمل عليها دائما و التي تقول بأن إيماننا بالقضايا الكبيرة يحتم علينا إيجاد مستويات فنية عالية للتعبير عنها","511 pages, Paperback",Arabic,"January 1, 2007"
58,الأندلس التاريخ المصور,طارق السويدان,"4.18 avg rating — 2,723 ratings",https://www.goodreads.com/book/show/2498049._,4.18,"2,723 ratings",243 reviews,التدريب والتدريس الإبداعي د. طارق السويدان,"520 pages, Paperback",Arabic,"April 1, 2005"
59,في صالون العقاد كانت لنا أيام,أنيس منصور,"4.09 avg rating — 3,200 ratings",https://www.goodreads.com/book/show/3599532,4.09,"3,200 ratings",400 reviews,ليس هذا عملا أدبيا فلسفيا تاريخيا دينيا شخصيا فقط، وإنما هو جيل.. عصر.. دنيا الأديب الكبير أنيس منصور الحائز على جائزة الدولة التشجيعية سنة 1963 وجائزة الدول التقديرية سنة 1982 .. وفي هذه الدنيا كل ملامح الجيل ، وعذاب العصر وحيوية التاريخ ، وروعة الفلسفة وحرارة الدين .. ثم هذا الضياع الذي عاشه أنيس منصور هو وجيله من الشبان.. وكان الأستاذ عباس العقاد هو العملاق والمثل الأعلى.. الهدف والطريق ... البداية والنهاية . أو كان البداية وكان قيب النهاية فيد التقى به وسمعه وبكى عليه وتحيرت قدماه بين كل عباقرة العصر الأحياء والأموات.. * ففي صالون العقاد احتشدت كل العقول والأذواق والضمائر وكل الحديد والنار والقلق والعذاب والأبهة والكبرياء وكل المعارك بين المبادئ والقيم.. * ولكن كاتبنا الكبير أنيس منصور، الذي أصدر سبعين كتابا خرج سالما غانما وفي يده هذا الذي بين يديك : متاب من أروع الكتب التى صدرت فيا لخمسين عاما الماضية في عالمنا العربي .. إنه صالون العقاد بقلم انيس منصور أو صالون أنيس منصور على ضوء العقاد أو هو العقاد من اختراع أنيس منصور. أيا اخترت من هذه المعاني فإن متعتك مضمونة .. وهى متعه لا نهاية لجمالها وعمقها مع كتاب العام وكل عام!,"667 pages, Paperback",Arabic,"January 1, 1983"
60,كيف تخطط لحياتك,صلاح الراشد,"3.88 avg rating — 1,772 ratings",https://www.goodreads.com/book/show/2422709._,3.88,"1,772 ratings",228 reviews,"يرى الدكتور صلاح الراشد أن السعداء الناجحين في التاريخ والحاضر هم أصحاب رسالة ورؤية، وأن الرسالة متعلقة بالسعادة والرؤية متعلقة بالنجاح ، ومن كان ذا رسالة نال السعادة، ومن كان ذا رؤية نال النجاح، ومن جمع بين الرسالة والرؤية جمع بين السعادة والنجاح. ويقول أن القاعدة تنص على:"" أنك إذا فشلت في التخطيط فقد خططت للفشل، وأنك إذا لم تخطط لحياتك أصبحت من ضمن مخططات الآخرين تلقائياً"". ويذكر أن ما نسبته أقل من 3% هم الذين يخططون فقط في الدنيا اليوم، وأن نسبة الأغنياء 1%، والمكتفين مادياً 4% فقط، ونسبة السعداء أقل من 3% في الدنيا، وهذه النسبة من الأغنياء والسعداء محصورة في الذين يخططون فقط. ويرى الراشد أنه من الخطورة أن يكون الإنسان بدون رسالة ورؤية، فضلاً عن المؤسسة والدولة والأمة، وأن عشرين ألفاً بخطة محكمة يكفون ليقوموا أمة عظيمة، وهو يدعو الأمة ـ الآن ـ لوضع رسالتها ورؤيتها ـ على الأقل ـ للمستوى الشخصي. في هذا الكتاب الفريد في طرحه وطريقته العملية يأخذك د. صلاح الراشد خطوة بخطوة لعمل التالي : رسم رسالتك في الحياة. وضع رؤية ال ""500 سنة"". حديد مخطط العشرين سنة. تحديد الخطة الخمسية. تعلم المتابعات الأسبوعية واليومية. تحديد رؤية الآخرة. كتابة خطة حياتك. تحديد الخطة العشرية. تحديد الخطة السنوية. سوف تخلص في نهاية الإصدار إلى وضع رسالة واضحة، ورؤية إستراتيجية محددة، تمنحك سبباً للحياة، وتعطيك راحة بعد الممات. في خلال هذا الكتاب سوف تكتب سيناريو حياتك، الذي حتماً سيتحقق وفق خطط. إننا نحقق يومياً ما خططناه بالأمس بعلم وبغير علم. في هذا الكتاب سوف تتعلم كيف تصنع حياتك بعلم. بيع من هذا الكتاب أكثر من 100.000 نسخة حتى الآن.",192 pages,Arabic,"January 1, 2001"
61,أعجب الرحلات في التاريخ,أنيس منصور,"3.99 avg rating — 3,503 ratings",https://www.goodreads.com/book/show/6083214,3.99,"3,503 ratings",269 reviews,هناك ثلاثة أنواع من الرحلات: أن تسافر أو أن تقرأ الكتب أو أن تقرأ كتب الرحلات .. وهناك فرق بين أن تسافر لتري البلاد وأن تسافر لتعرف الناس، والذي يسافر كثيرًا يعرف الكثيرين ولكنه يصادق القليلين، وكثيرون راحوا وجاءوا .. وجاءوا كما راحوا لم يتغير منهم شيء، وسبب ذلك أن نفوسهم صماء لم تنفتح علي شيء، والمثل يقول «حمار سافر فلن يعود حصانًا»؛ ولهذا كانت كتب الرحلات في أعماقنا وأعماق الآخرين وأعماق الدنيا؛ ولذلك كانت أروع الرحلات هي التي نقوم بها في رحلات الآخرين نري بعيونهم ونسمع بآذانهم، نرتمي في أحضانهم ونمشي علي الدنيا معًا.,"723 pages, Hardcover",Arabic,"January 1, 1971"
62,ديوان المتنبي,أبو الطيب المتنبي,"4.39 avg rating — 2,504 ratings",https://www.goodreads.com/book/show/6348484,4.39,"2,504 ratings",172 reviews,ديوان المتنبي كان المعري أول من جمعه في كتابه معجز أحمد فيه ما صح أنه للمتنبي، أفضل شعراء العرب قولا، و أجودهم معنى يحتوى ديوانه على أرقى المدحيات و أعنف الفخريات التي قيلت في تاريخ الشعر العربي,"444 pages, Hardcover",Arabic,"January 1, 1983"
63,نقطة النور,Bahaa Taher,"3.85 avg rating — 6,710 ratings",https://www.goodreads.com/book/show/2877205,3.85,"6,710 ratings",999 reviews,"يفتح بهاء طاهر نوافذ الفكر مشرعة على الاستقراءات الاجتماعية وحتى التاريخية ويدني القارئ أكثر وأكثر للاشتفافات الروحية. تنطلق عباراته شفافة في مدى الجانب الصوفي، وتأتي معانيه مترعة بالشوق واللهفة إلى بلوغ مراتب السموّ على دروب معالج السالكين. تتآلف هذه كله دونما نفور عند انعطافه للحديث عن الجسد وعن الإنسان بحالاته البشرية. وتتخذ هذه كلها لتشكل نقطة نور تضيء النفس بروعة الخيال الروائي المحتفل بعرس الحياة. هكذا يتحف بهاء طاهر القارئ بروايته ""نقطة النور"" المستمدة من واقع الحياة، ونقطة النور إنما هي رمز فلسفي يجسد فكرة تصالح الإنسان مع ذاته. الناس أجناس و النفوس لباس، و من تلبّس نفسا من غير جنسه.. وقع في الالتباس","302 pages, Paperback",Arabic,"January 1, 1999"
64,ليالي ألف ليلة,Naguib Mahfouz,"4.11 avg rating — 10,149 ratings",https://www.goodreads.com/book/show/5996777,4.11,"10,149 ratings","1,519 reviews",ليالي ألف ليلة وليلة معاصرة... ومملكة شهريار مدائن معاني تضج في خيال نجيب محفوظ... وشهرزاد رمزاً ينسحب... يتسلل من الماضي كاسم ليكون شهرزادات وليكون شهريار شهريارات ولتأتي الحكاية حكاية كل زمان وكل مكان... تحدث بالقهر... بالتسلط والمعاناة.... ويقف نجيب محفوظ خلف سطوره... وبين ثنايا معانيه يحركها وكأنه الواقف خلف ستار مسرح الدمى... يحرك عرائسه... يبدل أثوابها... يزخرفها... يلونها بألف لون ولون... ليغدو القارئ المشاهد أسير عالمه ويعود بذاكرته إلى الوراء... ليدنو إلى ما يسفر عنه الحاضر,"298 pages, Paperback",Arabic,"January 1, 1979"
65,تلك العتمة الباهرة,Tahar Ben Jelloun,"4.26 avg rating — 13,706 ratings",https://www.goodreads.com/book/show/3127736,4.26,"13,706 ratings","2,606 reviews",,"223 pages, Paperback",Arabic,
66,دماغي كده,Ahmed Khaled Towfik,"3.88 avg rating — 3,956 ratings",https://www.goodreads.com/book/show/6774781,3.88,"3,956 ratings",307 reviews,مجموعة من المقالات المتنوعة للرائع أحمد خالد توفيق تنتاول أحوالنا الاجتماعية والسياسية والعلمية والفنية بأسلوبه الساخر المميز .. قد نتفق أو نختلف حول الآراء المطروحة خاصة السياسية منها لكنها تظل جولة ممتعة فى دماغ المؤلف.,"286 pages, Mass Market Paperback",Arabic,"January 1, 2008"
67,البخلاء,Al-Jahiz,"3.81 avg rating — 3,411 ratings",https://www.goodreads.com/book/show/6315308,3.81,"3,411 ratings",395 reviews,يتناول الجاحظ في كتابه صفة البخل من خلال مجموعة من القصص والحكايات والنوادر الطريفة والمضحكة التي تصف سلوك وتصرفات البخلاء الذين قابلهم في حياته. لم يكن هدفه مجرد السخرية، بل كان يهدف إلى نقد هذه الصفة السلبية وأثرها على الفرد والمجتمع، وتشجيع القيم الأخلاقية مثل الكرم. يتميز أسلوب الجاحظ في الكتاب بما يلي: الواقعية والوصف الدقيق: يصور الجاحظ البخلاء تصويراً واقعياً وحسياً ونفسياً، مبرزاً حركاتهم ونظراتهم القلقة أو المطمئنة. الفكاهة والسخرية: يستخدم الجاحظ أسلوباً ساحراً وساخراً لجعل القارئ يضحك من هؤلاء الشخصيات دون أن يكرههم. الحوار الحي: يعتمد الكاتب على كثرة استخدام أسلوب الحوار بين الشخصيات، ممزوجاً أحياناً بألفاظ عامية لتقريب الصورة الحسية من ذهن القارئ. الدراسة الاجتماعية: يعتبر الكتاب وثيقة تاريخية هامة تعكس الحياة الاجتماعية والثقافية في ذلك العصر.,259 pages,Arabic,"January 20, 1969"
68,الروح,Ibn Qayyim Al-Jawziyya,"4.15 avg rating — 3,648 ratings",https://www.goodreads.com/book/show/2750303,4.15,"3,648 ratings",390 reviews,هذا كتاب عظيم النفع جليل القدركثير الفائدة ما صنف مثله في معناه فلا تكاد تجد ما تضمنه من بدائع الفوائد وفوائد القلائد في كتاب سواء ويشتمل علي جملة من المسائل تتضمن الكلام علي أرواح الأموات والأحياء بالدلائل من الكتاب والسنة والآثار وأقوال العلماء الأخيار لا أدري أسئل مصنفة قدس الله روحه عنها فأجاب أم سئل عن البعض ولكن هو أطال الخطاب فإني رأيته مجردا عن خطبة وسؤال أصلا مبتدئا فيه بقوله ( أما فأحببت بعد استخارة الله سبحانه وتعالي أن افتتحه بهذه الخطبة المباركة العظيمة لكونه كتابا في ضمن مسائله التي تتأملها وتشاهدها كل درة يتيمة لينشرح صدر الناظر فيه .,363 pages,Arabic,"January 1, 1320"
69,خلق المسلم,Muhammad Al-Ghazali,"4.39 avg rating — 4,462 ratings",https://www.goodreads.com/book/show/6048350,4.39,"4,462 ratings",414 reviews,"This is a translation of Khuluq al-Muslim in American English. The book presents the comprehensive nature of Islamic morality which covers all aspects of life - public as well as private, religious as well as social, economic as well as political. Islamic morality is not limited to Muslim society but it extends to human society.",212 pages,Arabic,"January 1, 1987"
70,كتاب مالوش اسم,أحمد العسيلي,"3.38 avg rating — 7,124 ratings",https://www.goodreads.com/book/show/6681613,3.38,"7,124 ratings",731 reviews,وانا صغيّر كان فيه حلم يقظة بيجيلي كتير جدًّا؛ قال خير اللهم اجعله خير، طالع انا في التليفزيون بَقُول نظريات وأفكار ورأيي في كل حاجة في الدنيا، والمذيعة الحلوة منبهرة جدًّا بكل كلمة بقولها. وقاعد انا بقه مُنْجَعِصْ بثقة في الكرسي بتاعي ومكتوب تحت صورتي بالبنط العريض «المفكّر الكبير: أحمد العسيلي». حلم غريب جدًّا طبعًا. هي دي شغلانة يحلم بيها طفل دي؟ المفكّر الكبير؟! بس الحمد لله.. جزء من النبوءة تحقق.. بَطْلَع في التليفزيون وفي الراديو وبَكتب مقالات وكمان بَكتب كتاب اهه.. بس الأهم، لإنه السبب في كل ده.. إني على طول بَفكّر.. بَفكّر.. بَفكّر.. أحمد العسيلي,"193 pages, Paperback",Arabic,"January 1, 2009"
71,السقا مات,يوسف السباعي,"4.15 avg rating — 4,292 ratings",https://www.goodreads.com/book/show/3930100,4.15,"4,292 ratings",494 reviews,"حدثت هذه القصة حوالي عام 1921 في حي الحسينية ومازال مسرح حوادثها قائما كما هو، وقد تكون كف السنين بدلت وجهه بالفناء والهدم، والبناء والتنظيم.. إلا أن الكثير من علاماته المميزة مازالت قائمة على حالها لم يخن عليها الدهر، ولم يبدلها الزمن. وأشهر هذه العلامات وأشدها ارتباطًا بقصتنا صنبور المياه الحكومي. القائم في إحدى زوايا درب السماكين، أمام كشك صغير تربع فيه ""سيد الدنك"" المانح المانع، الآمر الناهي في مياه الحي. الحاكم بأمره في صف طويل عريض من النسوة ذوات الصفائح، والرجال ذوي القرب. وكم أود لو وضعت القارئ في مسرح القصة وجعلته يتجول في أزقته وحواريه، ويراها رأى العين.. ولكنني أشك كثيرا في أن قارئ هذا الجيل يستطيع الوصول بسهولة إلى هذه الربوع القديمة التي دالت دولتها وأدبر عزها وعفى جمالها وزال سؤددها، وأضحت قصورها أطلالا بالية ودمنا عافية.. ومع ذلك فليس أحب إلى من التطوع بقيادته إلى هناك واصطحابه في جولة قصيرة سريعة، تعطى له مجرد فكرة سطحية عابرة عن المكان، الذي أوشك أن أزج به إليه. واضعه فيه، خلال فترة قراءته لهذه القصة.","333 pages, Paperback",Arabic,"January 1, 1952"
